"id","kjid","Kjsj","Kjdjs","kjsjzt","Kjjg","qq_now","tz_money","odds","zjje","add_time","start_time","edit_time","game_id"
"1","DIAL18000001","1536889080","0","0","10002,20006,30008","","0","","0","1536889020","1536889070","1536889070","4"
"2","DIAL18000002","1536889140","0","0","10001,20002,30006","","0","","0","1536889080","1536889130","1536889130","4"
"3","DIAL18000003","1536889200","0","0","10001,20002,30007","","0","","0","1536889140","1536889190","1536889190","4"
"4","DIAL18000004","1536889261","0","0","10002,20002,30006","","0","","0","1536889201","1536889250","1536889250","4"
"5","DIAL18000005","1536889320","0","0","10002,20002,30003","","0","","0","1536889260","1536889310","1536889310","4"
"6","DIAL18000006","1536889380","0","0","10001,20001,30005","","0","","0","1536889320","1536889370","1536889370","4"
"7","DIAL18000007","1536889440","0","0","10002,20003,30011","","0","","0","1536889380","1536889430","1536889430","4"
"8","DIAL18000008","1536889500","0","0","10002,20001,30012","","0","","0","1536889440","1536889490","1536889490","4"
"9","DIAL18000009","1536889560","0","0","10001,20006,30001","","0","","0","1536889500","1536889550","1536889550","4"
"10","DIAL18000010","1536889620","0","0","10002,20003,30011","","0","","0","1536889560","1536889610","1536889610","4"
"11","DIAL18000011","1536889680","0","0","10001,20004,30009","","0","","0","1536889620","1536889670","1536889670","4"
"12","DIAL18000012","1536889740","0","0","10002,20005,30008","","0","","0","1536889680","1536889730","1536889730","4"
"13","DIAL18000013","1536889800","0","0","10001,20004,30006","","0","","0","1536889740","1536889790","1536889790","4"
"14","DIAL18000014","1536889860","0","0","10001,20002,30008","","0","","0","1536889800","1536889850","1536889850","4"
"15","DIAL18000015","1536889920","0","0","10001,20005,30002","","0","","0","1536889860","1536889910","1536889910","4"
"16","DIAL18000016","1536889980","0","0","10002,20006,30010","","0","","0","1536889920","1536889970","1536889970","4"
"17","DIAL18000017","1536890040","0","0","10002,20002,30004","","0","","0","1536889980","1536890030","1536890030","4"
"18","DIAL18000018","1536890100","0","0","10002,20002,30007","","0","","0","1536890040","1536890090","1536890090","4"
"19","DIAL18000019","1536890160","0","0","10001,20006,30005","","0","","0","1536890100","1536890150","1536890150","4"
"20","DIAL18000020","1536890220","0","0","10001,20002,30009","","0","","0","1536890160","1536890210","1536890210","4"
"21","DIAL18000021","1536890280","0","0","10001,20003,30006","","0","","0","1536890220","1536890270","1536890270","4"
