"id","kjid","Kjsj","Kjdjs","kjsjzt","Kjjg","qq_now","tz_money","odds","zjje","add_time","start_time","edit_time","game_id"
"1","DICE18000001","1537027880","0","0","64","","0","","0","1537027820","1537027870","1537027870","2"
"2","DICE18000002","1537027940","0","0","62","","0","","0","1537027880","1537027930","1537027930","2"
"3","DICE18000003","1537028000","0","0","63","","0","","0","1537027940","1537027990","1537027990","2"
"4","DICE18000004","1537028060","0","0","42","","0","","0","1537028000","1537028050","1537028050","2"
"5","DICE18000005","1537028120","0","0","53","","0","","0","1537028060","1537028110","1537028110","2"
"6","DICE18000006","1537028180","0","0","26","","0","","0","1537028120","1537028170","1537028170","2"
"7","DICE18000007","1537028240","0","0","52","","0","","0","1537028180","1537028230","1537028230","2"
"8","DICE18000008","1537028300","0","0","46","","0","","0","1537028240","1537028290","1537028290","2"
"9","DICE18000009","1537028360","0","0","32","","0","","0","1537028300","1537028350","1537028350","2"
"10","DICE18000010","1537028420","0","0","43","","0","","0","1537028360","1537028410","1537028410","2"
"11","DICE18000011","1537028480","0","0","35","","0","","0","1537028420","1537028470","1537028470","2"
"12","DICE18000012","1537028540","0","0","23","","0","","0","1537028480","1537028530","1537028530","2"
"13","DICE18000013","1537028600","0","0","44","","0","","0","1537028540","1537028590","1537028590","2"
"14","DICE18000014","1537028660","0","0","56","","0","","0","1537028600","1537028650","1537028650","2"
"15","DICE18000015","1537028720","0","0","42","","0","","0","1537028660","1537028710","1537028710","2"
"16","DICE18000016","1537028780","0","0","12","","0","","0","1537028720","1537028770","1537028770","2"
"17","DICE18000017","1537028840","0","0","56","","0","","0","1537028780","1537028830","1537028830","2"
"18","DICE18000018","1537028900","0","0","64","","0","","0","1537028840","1537028890","1537028890","2"
"19","DICE18000019","1537028960","0","0","22","","0","","0","1537028900","1537028950","1537028950","2"
"20","DICE18000020","1537029020","0","0","61","","0","","0","1537028960","1537029010","1537029010","2"
"21","DICE18000021","1537029080","0","0","21","","0","","0","1537029020","1537029070","1537029070","2"
"22","DICE18000022","1537029140","0","0","53","","0","","0","1537029080","1537029130","1537029130","2"
"23","DICE18000023","1537029200","0","0","44","","0","","0","1537029140","1537029190","1537029190","2"
"24","DICE18000024","1537029260","0","0","66","","0","","0","1537029200","1537029250","1537029250","2"
"25","DICE18000025","1537029320","0","0","64","","0","","0","1537029260","1537029310","1537029310","2"
"26","DICE18000026","1537029380","0","0","55","","0","","0","1537029320","1537029370","1537029370","2"
"27","DICE18000027","1537029440","0","0","52","","0","","0","1537029380","1537029430","1537029430","2"
"28","DICE18000028","1537029500","0","0","66","","0","","0","1537029440","1537029490","1537029490","2"
"29","DICE18000029","1537029560","0","0","13","","0","","0","1537029500","1537029550","1537029550","2"
"30","DICE18000030","1537029620","0","0","35","","0","","0","1537029560","1537029610","1537029610","2"
"31","DICE18000031","1537029680","0","0","54","","0","","0","1537029620","1537029670","1537029670","2"
"32","DICE18000032","1537029740","0","0","56","","0","","0","1537029680","1537029730","1537029730","2"
"33","DICE18000033","1537029800","0","0","32","","0","","0","1537029740","1537029790","1537029790","2"
"34","DICE18000034","1537029860","0","0","51","","0","","0","1537029800","1537029850","1537029850","2"
"35","DICE18000035","1537029920","0","0","44","","0","","0","1537029860","1537029910","1537029910","2"
"36","DICE18000036","1537029980","0","0","55","","0","","0","1537029920","1537029970","1537029970","2"
"37","DICE18000037","1537030040","0","0","43","","0","","0","1537029980","1537030030","1537030030","2"
"38","DICE18000038","1537030100","0","0","23","","0","","0","1537030040","1537030090","1537030090","2"
"39","DICE18000039","1537030160","0","0","11","","0","","0","1537030100","1537030150","1537030150","2"
"40","DICE18000040","1537030220","0","0","12","","0","","0","1537030160","1537030210","1537030210","2"
"41","DICE18000041","1537030280","0","0","61","","0","","0","1537030220","1537030270","1537030270","2"
"42","DICE18000042","1537030340","0","0","11","","0","","0","1537030280","1537030330","1537030330","2"
"43","DICE18000043","1537030400","0","0","61","","0","","0","1537030340","1537030390","1537030390","2"
"44","DICE18000044","1537030460","0","0","53","","0","","0","1537030400","1537030450","1537030450","2"
"45","DICE18000045","1537030520","0","0","51","","0","","0","1537030460","1537030510","1537030510","2"
"46","DICE18000046","1537030580","0","0","54","","0","","0","1537030520","1537030570","1537030571","2"
"47","DICE18000047","1537030640","0","0","52","","0","","0","1537030580","1537030630","1537030630","2"
"48","DICE18000048","1537030700","0","0","41","","0","","0","1537030640","1537030690","1537030690","2"
"49","DICE18000049","1537030760","0","0","31","","0","","0","1537030700","1537030750","1537030750","2"
"50","DICE18000050","1537030820","0","0","45","","0","","0","1537030760","1537030810","1537030810","2"
"51","DICE18000051","1537030880","0","0","33","","0","","0","1537030820","1537030870","1537030870","2"
"52","DICE18000052","1537030940","0","0","35","","0","","0","1537030880","1537030930","1537030930","2"
"53","DICE18000053","1537031000","0","0","32","","0","","0","1537030940","1537030990","1537030990","2"
"54","DICE18000054","1537031060","0","0","55","","0","","0","1537031000","1537031050","1537031050","2"
"55","DICE18000055","1537031120","0","0","34","","0","","0","1537031060","1537031110","1537031110","2"
"56","DICE18000056","1537031180","0","0","45","","0","","0","1537031120","1537031170","1537031170","2"
"57","DICE18000057","1537031240","0","0","53","","0","","0","1537031180","1537031230","1537031230","2"
"58","DICE18000058","1537031300","0","0","24","","0","","0","1537031240","1537031290","1537031290","2"
"59","DICE18000059","1537031360","0","0","55","","0","","0","1537031300","1537031350","1537031350","2"
"60","DICE18000060","1537031420","0","0","42","","0","","0","1537031360","1537031410","1537031410","2"
"61","DICE18000061","1537031480","0","0","46","","0","","0","1537031420","1537031470","1537031470","2"
"62","DICE18000062","1537031540","0","0","12","","0","","0","1537031480","1537031530","1537031530","2"
"63","DICE18000063","1537031600","0","0","53","","0","","0","1537031540","1537031590","1537031590","2"
"64","DICE18000064","1537031660","0","0","45","","0","","0","1537031600","1537031650","1537031650","2"
"65","DICE18000065","1537031720","0","0","15","","0","","0","1537031660","1537031710","1537031710","2"
"66","DICE18000066","1537031780","0","0","36","","0","","0","1537031720","1537031770","1537031770","2"
"67","DICE18000067","1537031840","0","0","24","","0","","0","1537031780","1537031830","1537031830","2"
"68","DICE18000068","1537031900","0","0","25","","0","","0","1537031840","1537031890","1537031890","2"
"69","DICE18000069","1537031960","0","0","54","","0","","0","1537031900","1537031950","1537031950","2"
"70","DICE18000070","1537032020","0","0","24","","0","","0","1537031960","1537032010","1537032010","2"
"71","DICE18000071","1537032080","0","0","23","","0","","0","1537032020","1537032070","1537032070","2"
"72","DICE18000072","1537032140","0","0","22","","0","","0","1537032080","1537032130","1537032130","2"
"73","DICE18000073","1537032200","0","0","35","","0","","0","1537032140","1537032190","1537032190","2"
"74","DICE18000074","1537032260","0","0","44","","0","","0","1537032200","1537032250","1537032250","2"
"75","DICE18000075","1537032320","0","0","61","","0","","0","1537032260","1537032310","1537032310","2"
"76","DICE18000076","1537032380","0","0","54","","0","","0","1537032320","1537032370","1537032370","2"
"77","DICE18000077","1537032440","0","0","61","","0","","0","1537032380","1537032430","1537032430","2"
"78","DICE18000078","1537032500","0","0","13","","0","","0","1537032440","1537032490","1537032490","2"
"79","DICE18000079","1537032560","0","0","41","","0","","0","1537032500","1537032550","1537032550","2"
"80","DICE18000080","1537032620","0","0","55","","0","","0","1537032560","1537032610","1537032610","2"
"81","DICE18000081","1537032680","0","0","34","","0","","0","1537032620","1537032670","1537032670","2"
"82","DICE18000082","1537032740","0","0","45","","0","","0","1537032680","1537032730","1537032730","2"
"83","DICE18000083","1537032800","0","0","21","","0","","0","1537032740","1537032790","1537032790","2"
"84","DICE18000084","1537032860","0","0","34","","0","","0","1537032800","1537032850","1537032850","2"
"85","DICE18000085","1537032920","0","0","14","","0","","0","1537032860","1537032910","1537032910","2"
"86","DICE18000086","1537032980","0","0","31","","0","","0","1537032920","1537032970","1537032970","2"
"87","DICE18000087","1537033040","0","0","11","","0","","0","1537032980","1537033030","1537033030","2"
"88","DICE18000088","1537033100","0","0","16","","0","","0","1537033040","1537033090","1537033090","2"
"89","DICE18000089","1537033160","0","0","66","","0","","0","1537033100","1537033150","1537033150","2"
"90","DICE18000090","1537033220","0","0","43","","0","","0","1537033160","1537033210","1537033210","2"
"91","DICE18000091","1537033280","0","0","44","","0","","0","1537033220","1537033270","1537033270","2"
"92","DICE18000092","1537033340","0","0","13","","0","","0","1537033280","1537033330","1537033330","2"
"93","DICE18000093","1537033400","0","0","44","","0","","0","1537033340","1537033390","1537033390","2"
"94","DICE18000094","1537033460","0","0","65","","0","","0","1537033400","1537033450","1537033450","2"
"95","DICE18000095","1537033520","0","0","56","","0","","0","1537033460","1537033510","1537033510","2"
"96","DICE18000096","1537033580","0","0","16","","0","","0","1537033520","1537033570","1537033570","2"
"97","DICE18000097","1537033640","0","0","24","","0","","0","1537033580","1537033630","1537033630","2"
"98","DICE18000098","1537033700","0","0","52","","0","","0","1537033640","1537033690","1537033690","2"
"99","DICE18000099","1537033760","0","0","51","","0","","0","1537033700","1537033750","1537033750","2"
"100","DICE18000100","1537033820","0","0","63","","0","","0","1537033760","1537033810","1537033810","2"
"101","DICE18000101","1537033880","0","0","63","","0","","0","1537033820","1537033870","1537033870","2"
"102","DICE18000102","1537033940","0","0","26","","0","","0","1537033880","1537033930","1537033930","2"
"103","DICE18000103","1537034000","0","0","66","","0","","0","1537033940","1537033990","1537033990","2"
"104","DICE18000104","1537034060","0","0","16","","0","","0","1537034000","1537034050","1537034050","2"
"105","DICE18000105","1537034120","0","0","46","","0","","0","1537034060","1537034110","1537034110","2"
"106","DICE18000106","1537034180","0","0","63","","0","","0","1537034120","1537034170","1537034170","2"
"107","DICE18000107","1537034240","0","0","24","","0","","0","1537034180","1537034230","1537034230","2"
"108","DICE18000108","1537034300","0","0","23","","0","","0","1537034240","1537034290","1537034290","2"
"109","DICE18000109","1537034360","0","0","65","","0","","0","1537034300","1537034350","1537034350","2"
"110","DICE18000110","1537034420","0","0","32","","0","","0","1537034360","1537034410","1537034410","2"
"111","DICE18000111","1537034480","0","0","22","","0","","0","1537034420","1537034470","1537034470","2"
"112","DICE18000112","1537034540","0","0","51","","0","","0","1537034480","1537034530","1537034530","2"
"113","DICE18000113","1537034600","0","0","21","","0","","0","1537034540","1537034590","1537034590","2"
"114","DICE18000114","1537034660","0","0","13","","0","","0","1537034600","1537034650","1537034650","2"
"115","DICE18000115","1537034720","0","0","43","","0","","0","1537034660","1537034710","1537034710","2"
"116","DICE18000116","1537034780","0","0","22","","0","","0","1537034720","1537034770","1537034770","2"
"117","DICE18000117","1537034840","0","0","65","","0","","0","1537034780","1537034830","1537034830","2"
"118","DICE18000118","1537034900","0","0","54","","0","","0","1537034840","1537034890","1537034890","2"
"119","DICE18000119","1537034960","0","0","41","","0","","0","1537034900","1537034950","1537034950","2"
"120","DICE18000120","1537035020","0","0","42","","0","","0","1537034960","1537035010","1537035010","2"
"121","DICE18000121","1537035080","0","0","63","","0","","0","1537035020","1537035070","1537035070","2"
"122","DICE18000122","1537035140","0","0","54","","0","","0","1537035080","1537035130","1537035130","2"
"123","DICE18000123","1537035200","0","0","34","","0","","0","1537035140","1537035190","1537035190","2"
"124","DICE18000124","1537035260","0","0","65","","0","","0","1537035200","1537035250","1537035250","2"
"125","DICE18000125","1537035320","0","0","53","","0","","0","1537035260","1537035310","1537035310","2"
"126","DICE18000126","1537035380","0","0","61","","0","","0","1537035320","1537035370","1537035370","2"
