"kjid","win_time","win_status","deal_order","banker_money","visit_money","nostril_money","surname_money","banker_win_money","visit_win_money","nostril_win_money","surname_win_money","banker_left","banker_right","banker_result","visit_left","visit_right","visit_result","nostril_left","nostril_right","nostril_result","surname_left","surname_right","surname_result","win_result","add_time","start_time","end_time"
"NINE18000001","1536889095","0","3","0","0","0","0","0","0","0","0","14","32","2","33","22","5","9","5","5","23","25","3","111","1536889035","1536889085","1536889085"
"NINE18000002","1536889155","0","32","0","0","0","0","0","0","0","0","19","22","1","13","14","44","27","23","3","4","39","1","110","1536889095","1536889145","1536889145"
"NINE18000003","1536889215","0","9","0","0","0","0","0","0","0","0","6","33","1","22","7","8","20","8","7","32","16","2","111","1536889155","1536889205","1536889205"
"NINE18000004","1536889275","0","10","0","0","0","0","0","0","0","0","29","3","9","28","40","7","37","7","2","20","32","3","0","1536889215","1536889265","1536889265"
"NINE18000005","1536889335","0","36","0","0","0","0","0","0","0","0","28","5","9","3","30","9","38","13","4","23","33","5","0","1536889275","1536889325","1536889325"
"NINE18000006","1536889395","0","40","0","0","0","0","0","0","0","0","15","11","7","25","8","9","28","20","2","26","3","8","101","1536889335","1536889385","1536889385"
"NINE18000007","1536889455","0","21","0","0","0","0","0","0","0","0","36","27","6","34","28","6","20","19","55","35","13","3","10","1536889395","1536889445","1536889445"
"NINE18000008","1536889515","0","10","0","0","0","0","0","0","0","0","11","35","2","5","34","1","15","18","9","9","31","1","10","1536889455","1536889505","1536889505"
"NINE18000009","1536889575","0","4","0","0","0","0","0","0","0","0","11","36","2","22","6","8","25","21","3","23","28","3","111","1536889515","1536889565","1536889565"
"NINE18000010","1536889635","0","11","0","0","0","0","0","0","0","0","32","10","1","36","24","5","28","27","77","1","34","0","110","1536889575","1536889625","1536889625"
"NINE18000011","1536889695","0","19","0","0","0","0","0","0","0","0","18","5","7","22","15","0","26","28","77","6","34","1","10","1536889635","1536889685","1536889685"
"NINE18000012","1536889755","0","34","0","0","0","0","0","0","0","0","18","30","3","38","7","2","11","19","8","33","27","6","11","1536889695","1536889745","1536889745"
"NINE18000013","1536889815","0","15","0","0","0","0","0","0","0","0","10","34","2","30","36","7","7","9","5","35","29","7","111","1536889755","1536889805","1536889805"
"NINE18000014","1536889875","0","16","0","0","0","0","0","0","0","0","11","23","9","13","10","7","21","34","5","39","18","5","0","1536889815","1536889865","1536889865"
"NINE18000015","1536889935","0","1","0","0","0","0","0","0","0","0","28","26","77","4","17","6","39","20","5","7","16","6","0","1536889875","1536889925","1536889925"
"NINE18000016","1536889995","0","2","0","0","0","0","0","0","0","0","29","27","5","37","3","1","30","28","5","22","16","0","0","1536889935","1536889985","1536889985"
"NINE18000017","1536890055","0","12","0","0","0","0","0","0","0","0","21","22","66","4","25","8","39","27","7","19","30","3","0","1536889995","1536890045","1536890045"
"NINE18000018","1536890115","0","2","0","0","0","0","0","0","0","0","23","14","0","32","20","3","19","16","9","9","31","1","111","1536890055","1536890105","1536890105"
"NINE18000019","1536890175","0","40","0","0","0","0","0","0","0","0","28","14","1","2","6","3","18","7","7","17","36","4","111","1536890115","1536890165","1536890165"
"NINE18000020","1536890235","0","3","0","0","0","0","0","0","0","0","14","16","44","33","40","9","26","5","9","30","12","1","0","1536890175","1536890225","1536890225"
"NINE18000021","1536890295","0","1","0","0","0","0","0","0","0","0","19","20","55","32","2","9","18","6","7","27","36","6","0","1536890235","1536890285","1536890285"
"NINE18000022","1536890355","0","8","0","0","0","0","0","0","0","0","22","23","66","7","38","2","15","40","4","17","34","4","0","1536890295","1536890345","1536890345"
"NINE18000023","1536890415","0","30","0","0","0","0","0","0","0","0","24","21","66","16","35","3","33","25","6","26","28","77","1","1536890355","1536890405","1536890405"
"NINE18000024","1536890475","0","11","0","0","0","0","0","0","0","0","19","23","1","14","7","6","20","3","6","37","15","4","111","1536890415","1536890465","1536890465"
"NINE18000025","1536890535","0","9","0","0","0","0","0","0","0","0","14","2","5","30","15","2","5","24","8","39","18","5","10","1536890475","1536890525","1536890525"
"NINE18000026","1536890595","0","23","0","0","0","0","0","0","0","0","29","24","4","21","36","5","19","25","2","34","37","9","101","1536890535","1536890585","1536890585"
"NINE18000027","1536890655","0","20","0","0","0","0","0","0","0","0","14","18","9","35","37","9","11","12","33","1","9","4","10","1536890595","1536890645","1536890645"
"NINE18000028","1536890715","0","18","0","0","0","0","0","0","0","0","23","34","5","20","33","4","6","35","1","1","25","8","1","1536890655","1536890705","1536890705"
"NINE18000029","1536890775","0","9","0","0","0","0","0","0","0","0","11","31","1","4","3","11","37","40","1010","27","24","3","111","1536890715","1536890765","1536890765"
"NINE18000030","1536890835","0","19","0","0","0","0","0","0","0","0","35","25","6","5","14","6","23","12","9","40","9","3","10","1536890775","1536890825","1536890825"
"NINE18000031","1536890895","0","2","0","0","0","0","0","0","0","0","23","36","5","16","40","4","4","39","1","22","19","1","0","1536890835","1536890885","1536890885"
"NINE18000032","1536890955","0","9","0","0","0","0","0","0","0","0","36","15","3","28","12","0","32","38","8","23","24","66","11","1536890895","1536890945","1536890945"
"NINE18000033","1536891015","0","22","0","0","0","0","0","0","0","0","20","23","1","32","24","4","14","7","6","31","11","1","110","1536890955","1536891005","1536891005"
"NINE18000034","1536891075","0","10","0","0","0","0","0","0","0","0","32","25","5","38","27","7","16","19","9","7","34","1","110","1536891015","1536891065","1536891065"
"NINE18000035","1536891135","0","17","0","0","0","0","0","0","0","0","18","34","4","21","2","7","32","27","5","25","39","7","111","1536891075","1536891125","1536891125"
