"Tzid","yhid","kjid","Tzzffs","Tzzfsj","Tzcgbz","Tzsbyy","TzScbz","order_money","win_result","win_money","game_id"
"DICE1000000001","YH00123468","DICE18001863","1","1537001464","1","","1","188","2","291","2"
"DICE1000000002","YH00123468","DICE18001864","1","1537001495","1","","1","188","2","291","2"
"DICE1000000003","YH00123468","DICE18001865","1","1537001565","1","","1","188","2","414","2"
"DICE1000000004","YH00123468","DICE18001867","1","1537001684","1","","1","588","1","0","2"
"DICE1000000005","YH00123594","DICE18001899","1","1537003621","1","","1","1","1","0","2"
"DICE1000000006","YH00123597","DICE18001901","1","1537003719","1","","1","1","1","0","2"
"DICE1000000007","YH00123600","DICE18001904","1","1537003925","1","","1","50","2","78","2"
"DICE1000000008","YH00123600","DICE18001905","1","1537003965","1","","1","50","2","78","2"
"DICE1000000009","YH00123600","DICE18001906","1","1537004044","1","","1","50","2","78","2"
"DICE1000000010","YH00123600","DICE18001907","1","1537004103","1","","1","50","1","0","2"
"DICE1000000011","YH00123600","DICE18001908","1","1537004140","1","","1","80","2","176","2"
"DICE1000000012","YH00123600","DICE18001909","1","1537004202","1","","1","28","1","0","2"
"DICE1000000013","YH00123600","DICE18001910","1","1537004271","1","","1","100","2","90","2"
"DICE1000000014","YH00123600","DICE18001911","1","1537004326","1","","1","90","2","140","2"
"DICE1000000015","YH00123600","DICE18001912","1","1537004389","1","","1","90","2","198","2"
"DICE1000000016","YH00123600","DICE18001913","1","1537004447","1","","1","45","1","0","2"
"DICE1000000017","YH00123600","DICE18001914","1","1537004502","1","","1","103","1","0","2"
"DICE1000000018","YH00123600","DICE18001915","1","1537004566","1","","1","150","1","0","2"
"DICE1000000019","YH00123600","DICE18001916","1","1537004616","1","","1","50","2","110","2"
"DICE1000000020","YH00123600","DICE18001918","1","1537004737","1","","1","110","1","0","2"
"DICE1000000021","YH00123599","DICE18001921","1","1537004933","1","","1","30","2","67","2"
"DICE1000000022","YH00123599","DICE18001922","1","1537004975","1","","1","67","1","0","2"
"DICE1000000023","YH00123600","DICE18002055","1","1537012957","1","","1","300","1","0","2"
"DICE1000000024","YH00123600","DICE18002060","1","1537013265","1","","1","500","2","900","2"
"DICE1000000025","YH00123600","DICE18002062","1","1537013390","1","","1","500","1","0","2"
"DICE1000000026","YH00123600","DICE18002063","1","1537013448","1","","1","1100","2","2420","2"
"DICE1000000027","YH00123600","DICE18002077","1","1537014289","1","","1","100","1","0","2"
"DICE1000000028","YH00123600","DICE18002078","1","1537014333","1","","1","200","1","0","2"
"DICE1000000029","YH00123600","DICE18002079","1","1537014401","1","","1","500","2","1100","2"
"DICE1000000030","YH00123600","DICE18002083","1","1537014642","1","","1","200","2","440","2"
"DICE1000000031","YH00123600","DICE18002086","1","1537014827","1","","1","50","1","0","2"
"DICE1000000032","YH00123600","DICE18002087","1","1537014881","1","","1","100","2","180","2"
"DICE1000000033","YH00123600","DICE18002088","1","1537014938","1","","1","50","1","0","2"
"DICE1000000034","YH00123600","DICE18002089","1","1537014996","1","","1","100","2","180","2"
"DICE1000000035","YH00123600","DICE18002093","1","1537015236","1","","1","100","2","180","2"
"DICE1000000036","YH00123600","DICE18002096","1","1537015420","1","","1","100","1","0","2"
"DICE1000000037","YH00123600","DICE18002097","1","1537015484","1","","1","198","1","0","2"
"DICE1000000038","YH00123600","DICE18002098","1","1537015539","1","","1","300","1","0","2"
"DICE1000000039","YH00123600","DICE18002099","1","1537015605","1","","1","700","2","1260","2"
"DICE1000000040","YH00123600","DICE18002100","1","1537015666","1","","1","60","2","108","2"
