"order_info_id","order_id","tz_result","tz_money","win_code","win_result","win_money"
"1","DXH1000000001","1","1","199","3,11,19","0"
"2","DXH1000000001","2","1","199","3,11,19","0"
"3","DXH1000000001","3","1","199","3,11,19","2"
"4","DXH1000000001","4","1","199","3,11,19","0"
"5","DXH1000000002","1","1888","417","3,14,11,17","0"
"6","DXH1000000003","1","1888","187","3,11,18,17","0"
"7","DXH1000000004","1","2888","370","1,13,17,10","6007"
"8","DXH1000000005","1","1888","986","1,19,18,16","3927"
"9","DXH1000000006","3","5888","234","3,12,13,14","12247"
"10","DXH1000000007","3","2888","87","3,10,18,17","6007"
"11","DXH1000000008","3","888","185","3,11,18,15","1865"
"12","DXH1000000009","3","888","837","1,18,13,17","0"
"13","DXH1000000010","1","1888","983","1,19,18,13","3965"
"14","DXH1000000011","3","888","406","3,14,10,16","1865"
"15","DXH1000000012","1","888","589","3,15,18,19","0"
"16","DXH1000000013","1","2888","965","1,19,16,15","6065"
"17","DXH1000000014","1","888","809","3,18,10,19","0"
"18","DXH1000000015","3","888","220","1,12,10","0"
"19","DXH1000000016","1","1888","257","3,12,15,17","0"
"20","DXH1000000017","3","2888","927","1,19,12,17","0"
"21","DXH1000000018","1","2499","945","1,19,14,15","5249"
"22","DXH1000000019","3","2888","918","1,19,11,18","0"
"23","DXH1000000020","3","2361","440","1,14,10","0"
"24","DXH1000000021","1","188","259","3,12,15,19","0"
"25","DXH1000000022","1","10","472","1,14,17,12","21"
"26","DXH1000000023","1","10","733","1,17,13","21"
"27","DXH1000000024","3","10","63","3,10,16,13","21"
"28","DXH1000000025","3","20","165","3,11,16,15","42"
"29","DXH1000000026","3","20","817","1,18,11,17","0"
"30","DXH1000000027","3","20","752","1,17,15,12","0"
"31","DXH1000000028","1","40","156","3,11,15,16","0"
"32","DXH1000000029","3","13","147","3,11,14,17","27"
"33","DXH1000000030","3","17","156","3,11,15,16","35"
"34","DXH1000000031","3","35","524","1,15,12,14","0"
"35","DXH1000000032","1","20","1","3,10,11","0"
"36","DXH1000000033","2","10","368","3,13,16,18","0"
"37","DXH1000000034","3","5","368","3,13,16,18","10"
"38","DXH1000000035","1","10","827","1,18,12,17","21"
"39","DXH1000000036","1","6","322","1,13,12","12"
"40","DXH1000000037","1","5","937","1,19,13,17","10"
"41","DXH1000000038","1","18","423","1,14,12,13","37"
"42","DXH1000000039","2","5","799","3,17,19","0"
"43","DXH1000000040","3","13","661","1,16,11","0"
"44","DXH1000000041","1","30","222","4,12,2","0"
"45","DXH1000000042","4","10","75","3,10,17,15","0"
"46","DXH1000000043","3","5","66","3,10,16","10"
"47","DXH1000000044","3","5","929","2,19,12","0"
"48","DXH1000000045","1","20","644","1,16,14","42"
"49","DXH1000000046","1","10","488","3,14,18","0"
"50","DXH1000000047","3","10","323","2,13,12","0"
"51","DXH1000000048","3","22","158","3,11,15,18","46"
"52","DXH1000000049","1","15","855","1,18,15","31"
"53","DXH1000000050","1","2","619","3,16,11,19","0"
"54","DXH1000000051","3","20","49","3,10,14,19","42"
"55","DXH1000000052","1","20","672","1,16,17,12","42"
"56","DXH1000000053","1","6","186","3,11,18,16","0"
"57","DXH1000000054","3","17","223","3,12,13","35"
"58","DXH1000000055","3","5","114","3,11,14","10"
"59","DXH1000000056","1","10","31","3,10,13,11","0"
"60","DXH1000000057","1","20","196","3,11,19,16","0"
"61","DXH1000000058","1","10","327","3,13,12,17","0"
"62","DXH1000000059","3","5","464","2,14,16","0"
"63","DXH1000000060","1","6","464","2,14,16","0"
"64","DXH1000000061","2","5","905","1,19,10,15","0"
"65","DXH1000000062","1","15","583","1,15,18,13","31"
